,portfolio_value,daily_return,portfolio_normalized,benchmark_IPC
2024-03-26,58380.39787651358,0.0076157050342728,100.0,100.0
2024-03-27,58257.49392781333,-0.0006339720365807,99.7894773705376,100.27847113719449
2024-03-28,58467.65751011281,0.000599844381715,100.14946734995502,100.27847113719449
2024-04-01,58373.03328605772,-0.0016184028586868,99.98738516569988,100.77527282271508
2024-04-02,58237.14006576289,-0.0047631926610982,99.7546131647583,100.6504305739787
2024-04-03,58106.62153729885,0.0011580271564703,99.53104749338328,100.51335946572104
2024-04-04,57772.31565658458,-0.0034385396861285,98.95841371068552,101.1764831998617
2024-04-05,57502.44284007008,-0.0015549785115394,98.49614756257648,101.54299393206855
2024-04-08,57639.191206027455,-0.0005356648114005,98.73038434569436,101.36382850837342
2024-04-09,57086.64666991598,-0.0104658847728081,97.78392876092734,100.6317970967964
2024-04-10,56648.249063845215,-0.0086741487482324,97.03299587588934,98.99814163668572
2024-04-11,56600.40810038346,0.0032827588598052,96.9510489121791,99.33686260995816
2024-04-12,56554.72592289208,-0.0041130217306113,96.87279974096242,98.87470594577256
2024-04-15,55811.71118975602,-0.0053257216624916,95.60008704943932,97.85753248926665
2024-04-16,55412.769932303214,-0.0021146097899186,94.91673909025508,97.53110182707084
2024-04-17,55278.64429257839,-0.0016593427530922,94.68699478462612,96.86415444059524
2024-04-18,55070.60656461848,0.0002281990270787,94.3306461889897,97.43003450231716
2024-04-19,54849.99425366992,-0.0026288741364208,93.95275854352488,97.64577042941596
2024-04-22,54962.70097142105,0.0053460997664775,94.14581429828269,98.85019360312522
2024-04-23,55528.07197295738,0.0042345961909948,95.11424038323712,98.99326647995863
2024-04-24,55616.31646949332,-0.0035646935985431,95.26539470856837,98.69653057491414
2024-04-25,55975.78488332173,0.0083396442980263,95.88112948754116,99.75892554823152
2024-04-26,55966.373451664695,0.0019937242768073,95.8650086113578,101.0909904304224
2024-04-29,56319.87381957418,0.0008216743559898,96.4705207023463,101.08051635420485
2024-04-30,55919.30248184456,-0.011549268289255,95.78438057261148,99.15797713223752
2024-05-01,55496.13587190879,0.0006634518108783,95.05953691733038,99.15797713223752
